Image Number,TP,TN,FP,FN,Accuracy
0,0,1,0,0,0
1,0,1,0,0,0
2,0,1,0,0,0
3,0,1,0,0,0
4,0,1,0,0,0
5,0,1,0,0,0
6,0,1,0,0,0
7,0,1,0,0,0
8,0,1,0,0,0
9,0,1,0,0,0
10,0,1,0,0,0
11,0,1,0,0,0
12,0,1,0,0,0
13,0,1,0,0,0
14,0,1,0,0,0
15,0,1,0,0,0
16,0,1,0,0,0
17,0,1,0,0,0
18,0,1,0,0,0
19,0,1,0,0,0
20,1,0,0,0,1
21,1,0,0,0,1
22,1,0,0,0,1
23,1,0,0,0,1
24,1,0,0,0,1
25,1,0,0,0,1
26,1,0,0,0,1
27,1,0,0,0,1
28,1,0,0,0,1
29,1,0,0,0,1
30,1,0,0,0,1
31,1,0,0,0,1
32,1,0,0,0,1
33,1,0,0,0,1
34,1,0,0,0,1
35,1,0,0,0,1
36,1,0,0,0,1
37,1,0,0,0,1
38,0,1,0,0,0
39,1,0,0,0,1
40,0,1,0,0,0
41,0,1,0,0,0
42,0,1,0,0,0
43,0,1,0,0,0
44,0,1,0,0,0
45,0,1,0,0,0
46,0,1,0,0,0
47,1,0,0,0,1
48,0,1,0,0,0
49,1,0,0,0,1
50,0,1,0,0,0
51,0,1,0,0,0
52,0,1,0,0,0
53,0,1,0,0,0
54,0,1,0,0,0
55,0,1,0,0,0
56,1,0,0,0,1
57,1,0,0,0,1
58,0,1,0,0,0
59,0,1,0,0,0
